card_name	disposition	rationale
Forensic Gadgeteer	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Fortune Teller's Talent	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Gemstone Caverns	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Giant's Boulder	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Gitaxian Probe	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Grafdigger's Cage	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Grim Monolith	COMPLETE	Goldfish-complete: printed {2} cast, untapped entry, {T} for three colorless, skipped normal untap, and {4} self-untap are executable; dedicated post-R7 Monolith fixtures also prove the intrinsic mana and native untap actions are solver-visible.
Grinding Station	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Hope of Ghirapur	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Hydroelectric Specimen	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Imposter Mech	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Ipnu Rivulet	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Island	COMPLETE	Goldfish-complete: ordinary untapped basic-land play and intrinsic blue mana are executed by the current rules engine; dedicated post-R7 mana-baseline fixture proves play, tap, and mana production.
Jeweled Amulet	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Lotus Petal	COMPLETE	Goldfish-complete: zero-mana artifact cast and {T}, sacrifice mana ability are executable; unrestricted any-color production is projected to blue only under a fixture that audits the pinned deck for non-blue colored costs.
Mana Drain	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Mana Vault	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Manifold Key	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Mental Misstep	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Merchant Scroll	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Minamo, School at Water's Edge	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Mindbreak Trap	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Mishra's Bauble	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Misty Rainforest	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Moonsnare Prototype	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Mox Diamond	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Mox Opal	COMPLETE	Goldfish-complete: zero-mana legendary artifact cast, public three-artifact metalcraft legality, and tap-for-mana are executable; any-color production uses the audited mono-blue projection.
Muddle the Mixture	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Mystic Remora	ENVIRONMENT_SPLIT_REQUIRED	Current coverage is environment-deferred, but opponent-spell draws must be separated from intrinsic cumulative-upkeep and base-cast behavior before this card can be accepted.
Mystical Tutor	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Oboro, Palace in the Clouds	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Otawara, Soaring City	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Pact of Negation	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Pithing Needle	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Polluted Delta	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Power Artifact	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Prismatic Vista	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Prized Statue	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Repurposing Bay	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Reshape	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Retraction Helix	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Rhystic Study	ENVIRONMENT_SPLIT_REQUIRED	Current coverage is environment-deferred, but opponent-driven tax/draw behavior must be separated from base-cast and any own-side trigger interactions before this card can be accepted.
Sapphire Medallion	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Saprazzan Skerry	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Scalding Tarn	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Scour for Scrap	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Sea Gate Restoration	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Seat of the Synod	COMPLETE	Goldfish-complete: ordinary artifact-land play, intrinsic blue mana, and artifact identity are represented by the current rules engine; dedicated post-R7 mana-baseline fixture proves land play, blue production, and artifact characteristic used by Urza/artifact effects.
Sensei's Divining Top	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Sewer-veillance Cam	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Sink into Stupor	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Sol Ring	COMPLETE	Goldfish-complete: zero-choice artifact spell resolution at printed {1} and intrinsic tap for two colorless are executed by the current rules engine; dedicated post-R7 mana-baseline fixture proves cast payment, battlefield entry, and mana production.
Spellseeker	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Spellskite	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Swan Song	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Tezzeret, Cruel Captain	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
The One Ring	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
The Reality Chip	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Tormod's Crypt	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Transmute Artifact	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Urza, Lord High Artificer	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Urza's Bauble	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Urza's Saga	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Uthros Research Craft	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Valley Floodcaller	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Vexing Bauble	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Voltaic Key	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Welding Jar	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Whir of Invention	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Witching Well	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
